quantity,cutter,stage,n_passes,bias,rmse,mae
Wear,C1,Early,104,-19.282168644143667,21.522567110546476,20.076995229913468
Wear,C1,Middle,105,-15.03857026561741,15.12328759206434,15.03857026561741
Wear,C1,Late,106,14.811662086538405,25.302817054448354,21.794398778182277
Direct RUL head,C1,Early,104,-30.41144781725518,32.21583182978623,30.41144781725518
Direct RUL head,C1,Middle,105,-44.25392364475197,44.86822340019109,44.25392364475197
Direct RUL head,C1,Late,106,-31.631923590581472,41.187765422369324,34.69511233127498
Wear,C4,Early,94,19.905176063598034,20.596971835642236,19.905176063598034
Wear,C4,Middle,94,15.952121006730978,16.295809190296055,15.952121006730978
Wear,C4,Late,95,15.871529693042547,19.660758680227037,17.29473142340943
Direct RUL head,C4,Early,94,6.385307230937372,9.490284696793662,6.774329085068921
Direct RUL head,C4,Middle,94,30.770375145649037,32.84005727177054,30.770375145649037
Direct RUL head,C4,Late,95,54.89333041076034,55.415423216874686,54.89333041076034
Wear,C6,Early,81,-18.816046575381595,21.8696268743471,20.34516870904469
Wear,C6,Middle,82,-27.5023329072271,27.732716603583114,27.5023329072271
Wear,C6,Late,82,-23.04395710938403,23.514880854506437,23.04395710938403
Direct RUL head,C6,Early,81,-1.3610639730616256,19.92621540273202,17.717018532251902
Direct RUL head,C6,Middle,82,-2.2704713791327618,4.683297958371405,3.4361468750213335
Direct RUL head,C6,Late,82,22.474178532680384,30.98275383146953,23.789916486260843
